question,answer
如果我想要反映有關通識課程的想法，我可以怎麼表達我的想法呢?,歡迎至通識中心辦公室(全人村南棟8樓813室)，或可至本網頁右上角點選「聯絡中心」與我們聯繫。
為什麼選課系統上有些課程的名額為0，且我們無法選課呢?,各學院指定倫理類課程(延伸人學)，除科學與倫理以外，均由學院/學系統一安排學期自動加選，故不開放至選課系統選課。如同學有選課上的需求，請先洽詢學系/院助理。
我預計在大四至國外交換一年，但我仍有多門通識課程未修完，請問我有哪些方法可以讓我順利畢業呢?,請學生攜帶歷年修課清單及預計至哪間大學交換之資料至通識中心，將依照學生個別情形協助辦理通識課程加選。
我選到的通識課程備註寫了「需收場地器材使用費」，請問該如何繳費?,"A1：收費課程：數位編曲聲音設計(GE625A、GE625B)、數位聲音後製概論(GE626A) 、基礎錄音技術(GE766A、GE766B)、進階錄音技術(GE627A)、廣播到Podcast(GE784A)、成音概論（GE785A）。
 
 A2：第一次修習使用專業教室之課程(當學期)：修習1 門課程收費2,000 元，修習2門課程以上收費3,200 元。第二次以後修習使用專業教室之課程(往後之學期)：該學期修習課程數不限，均收費1,200 元。
 
 A3：繳費相關事宜如下
 (1)助理將於開學第1~2週至課堂解說繳費須知。
 (2)第二階段選課截止後，「繳費通知」會以email通知您，並將您「所需繳交的費用」匯入itouch平台。請登入itouch→點選「個人資訊」→點選「應繳費學雜費及學分費查詢系統」查看。
 (3)請您於繳費截止日完成繳費，未繳費者將由教務處逕自刪課。"
我想要申請通識課程拼圖卡，請問該如何申請呢?,"通識中心在學生自行選課外，彈性規劃「拼圖卡」人工加選機制，此機制著重「學生展現學習拼勁與企圖心」，由授課教師對學生進行學前評估，挑選對課程有高度興趣的學生，期能帶動班級學習風氣，提升教學品質。
選取拼圖卡課程仍須符合選課規定(如：延伸通識課程一學期上限2門)，如取得拼圖卡請於公告時間內至通識中心進行加選，不得代領代加選，逾時視為放棄，遺失不予補發，加選時不符合選課規定亦視為放棄。"
請問什麼是「通識教育自主學習學分」，我要如何申請?,"學校基於對自然與人性的尊重，在通識課程學習外，為引導學生養成自主學習之良好習慣，規劃學生參與通識活動並可申請學分認證，單次申請認證限1學分，累計總認證2學分為上限。
 
 學生申請通過取得學分後，當學期即可取得學分，通識教育自主學習學分，屬「延伸選修通識課程」。
 
 【通識教育自主學習學分說明】
 通識教育自主學習課程分為通識講座與演講類、通識藝文活動類及其他類，認證原則如下：
 (一)通識講座與演講類：單場計0.1學分。
 (二)通識藝文活動類：包括表演、音樂、影展(須安排座談或影評)者，單場計0.1學分。
 (三)其他類：相關通識性活動，單場2小時，計0.1學分；4小時課程，計0.2學分；以此類推；單場上限計0.2學分。"
通識課程怎麼修？有懶人包嗎？,"【110學年度起入學之大學部學生】中原大學通識課程懶人包：https://youtu.be/6xYGA0UCDrc
【109學年度以前入學之大學部學生】中原大學通識課程懶人包：https://youtu.be/zohj7sdsjHo"
我是今年大四的應屆畢業生，請問可以加簽通識嗎？可以加簽全英的通識課程嗎？,"A1：畢業生現場選通識課程「非常態」(不一定每年都會有)。中心會先收集意見經評估後，「若有」開放畢業生現場，請自行留意相關網站公告(中原Itouch/通識中心FB/通識中心官網)，自行查閱。
 
 A2：全英文「非」選修通識課程的畢業條件之一，學生可以選修系上或他系課程(他系課程是否認列畢業學分，請自行詢問您系上的助理)。"
我想多修通識課有其他選課管道嗎？,"1.校際選課：
 (1)聯盟學校開課：歡迎同學可至「中原大學開課查詢系統」→「聯盟學校開課」查詢課程，由通識中心審核認抵為哪一類別，該課程不規範一學期延伸通識課程2門上限內，歡迎同學多加利用。
 (2)校際選課：本校生至外校校際選課路徑：本校首頁/在校學生/登入學號密碼/學業/選課資訊/校際選課系統(本校至外校)。請自行至各校網頁找欲選之課程，由通識中心審核可認抵為哪一類別，該課程不規範一學期延伸通識課程2門上限內，歡迎同學多加利用。
 (3)優久聯盟選課：全國共12所辦學績優的大學組成之私立大學聯盟，提供聯盟內學生得申請國內校際選課等相關跨校合作措施，讓聯盟內學生透過跨校跨域合作，能多元學習，做好接軌世界的準備。相關連結：https://course.ttu.edu.tw/u9/index.php"
通識活動入場相關須知(不定期更新),"一、由於場地空間有限，為顧及演出安全與配合政策，主辦單位有權視場地大小限制人數。
二、場內禁止飲食、雨傘請勿帶入場內。
三、來觀賞之觀眾，請注意自身服裝儀容，謝謝。
四、進入會場後，請勿佔位，以保障其他觀眾觀賞的權利。
五、節目進行中，請勿錄影音、拍照，並請將手機關震動或關機，以尊重演出者及其他觀眾。
六、為維護表演品質，遲到觀眾請依主辦單位規定入場。
七、是否有候補名額，請依現場狀況為主。
八、通識自主學習學分/通識認證採用學生證BB簽到
九、若有異動請依中心最新公告為主
十、主辦單位保有活動內容/流程調整之權利"
如何查看自己參加幾場通識活動呢？,"A1：自105-1學期起通識認證因應數位化時代，全面採行學生證BB簽到系統，自動將參與活動證明匯入「學生活動參與情況查詢」平台中，老師們可藉由此平台查看學生參與通識活動紀錄。不僅可減少紙張資源的浪費，同時也能為學生留下永久的參與證明。請參考連結：通識認證查詢路徑。
A2：若仍遇到相關問題請聯絡通識中心，我們會盡量提供協助，謝謝您。"
BB靠卡的目的為何？,BB靠卡的目的在於記錄學生學習歷程，學生可透過參加通識活動後，依天、人、物、我四大類別，規劃未來參與各面的相關活動，以達四大類別的平衡，落實全人教育之目的。
「通識自主學習學分」與「通識活動認證」的定義與差別？,"A1：通識自主學習學分：參加通識自主學習相關活動，累積滿1學分即可申請1學分的延伸通識課程。
(目的：增加通識選課方式多元化，讓參與活動的學生，可累積活動轉學分。)
A2：通識活動認證：參加通識活動的證明，可在MyFile裡查閱。
(目的：推廣藝文相關活動，記錄學生學習歷程，學生可依天、人、物、我四大類別，規劃未來參與各面的相關活動，以達四大類別的平衡，落實全人教育之目的。另外，因活動為課程的延伸，老師可依課程規劃，推薦學生參與認證活動，豐富其課程內容。)"
為什麼通識手冊內的活動，不一定列入通識認證或通識自主學分呢？,由於手冊製作目的為宣傳推廣校內藝文活動，因此手冊內「含校內各單位」舉辦的相關活動，「非單一性」皆屬通識中心的活動。
如何辨別活動是否列入認證？是否為通識中心舉辦之活動呢？,"1.為了方便學生查閱，列入認證的活動(含：通識認證、自主學習、研習活動等)，會於通識手冊內頁中，於預計舉辦的活動旁以「不同圖案」標示如下。
=列入通識認證 (參加通識活動之證明，可在 MyFile 裡查閱。)
=列入通識自主學習學分 (參加通識自主學習相關活動， 累積滿 1 學分即可申請 1 學分 的延伸通識課程。)
=列入教師研習時數 (列入中原大學教師教學研討會 時數，可至 E-portfolio 查詢。)
2.若有臨時認列之活動，將會另行於中心網頁/FB公告。
3.  (中原大學活動報名系統：https://reurl.cc/eddRQ7)
●通識中心舉辦之活動：請至中原大學itouch→點選活動報名系統→至頁面左方下拉式選單中的「單位」→點選通識中心
●列為何項認證：請至中原大學itouch→點選活動報名系統→至頁面左方下拉式選單中的「標籤」→點選(   )內您所需的資訊"
「通識活動手冊內」各項活動公告及聯絡人在哪裡查詢呢？,"A：以下資訊將會不定期更新
※「通識藝文」承辦單位/通識中心 ：https://is.gd/dBnZP4 / 活動聯絡人：吳宛倩助理。活動洽詢：03-2656871
※「全人博雅講壇/智庫週/青年論壇」承辦單位/通識中心：https://is.gd/dBnZP4 / 活動聯絡人：張芸瑄助理。活動洽詢：03-2656883
※「風雅頌藝文節目/鋼琴大師/樂曲悠揚」承辦單位/風雅頌音樂中心：https://is.gd/dQ7g4o / 活動聯絡人：徐郁婷助理。活動洽詢：03-2651281
※「人生講座」承辦單位/校牧處：https://cwoc.cycu.edu.tw/ / 活動聯絡人：曹開泰助理。活動洽詢：03-2652603
※「藝文展覽」承辦單位/藝術中心：https://reurl.cc/rx5Qo1 /活動聯絡人：林依穎助理。活動洽詢：03-2651261
※「圖書館博雅系列活動」承辦單位/圖書館：https://reurl.cc/pxm5b8 /聯絡人：林月秋助理。活動洽詢：03-2652830
※「博雅電影院系列活動」承辦單位/圖書館：https://reurl.cc/pxm5b8 / 活動聯絡人：黃楹茹助理。活動洽詢：03-2652839
※「服務學習系列活動」承辦單位/服務學習中心：https://reurl.cc/nzDERn / 。活動洽詢：03-2652153
※「風船葛之家心理成長系列活動」承辦單位/諮商中心：https://reurl.cc/nzDERn / 活動洽詢：03-2652131"
活動相關資訊哪裡可以查？,"通識教育中心新的官網於102學年已建置完畢，相關活動訊息可至官方網站與FB查詢。
通識教育中心網址：https://cge.cycu.edu.tw
通識教育中心網FB：請至FB搜尋「中原大學通識中心」
中原大學活動報名系統：https://reurl.cc/bnmqvl"
有索票的活動場次，取票時段可以調整嗎？,"1.因之前取票發生諸多問題，中心採取學生意見，將取票時間調整為中午與下課時段。取票時段為以「中午12:10」及「下午5:10」為主。
2.若因活動型態調整索票時段，請自行參閱中心公告，謝謝。"
需索票/報名場次的活動，無持票券/報名者是否無法現場等候補？,"A1：索票/報名機制是為了控管適當的入場人數，但因非營利索票/報名，所以無法預估與有效規定，已索票/報名的人士是否皆會參與；再者，當天因故無法出席者，也無法估計。
A2：為了讓該場次的活動達到最大效益，若當天有意願排後補的同學，視入場情況而決定是否開放後補名額。
A3.若因活動型態調整索票/報名/候補方式，請自行參閱中心公告，謝謝"
是否所有活動皆可領取號碼牌的方式入場？,通識中心會在演出前1小時左右，於演出現場發放號碼牌。(號碼牌之規則：拿到號碼牌才可以入場，但入場順序仍須以排隊為主。在這之間，是讓學生可以選擇是要先離開做自己的事，還是繼續排隊優先選位子。)
可否不參加老師的認養活動？,"鼓勵同學踴躍參加！
1.因為通識活動為通識課程之延伸，所以通識中心在每學期皆會舉辦各式各樣的活動，但參與人數無法確實估計與掌控，故某些場次表演內容雖豐富，往往參與人數稀少，身為主辦單位的我們愧對表演者，所以希望所有通識課程老師一同參與認養通識活動。
2.老師將依照課程需求搭配通識活動，安排學生參與藝文活動，且要求學生參與通識活動的目的在於，增加藝文涵養、豐富身心靈、培育全人。"
為什麼老師們認養的方式不同？對於認證的認定也不同呢？,由於課程規劃依課堂老師為主，因此認養方式也不相同，若有疑慮的學生，請自行於課堂上與老師協調參與方式。
活動是否可以在白天、星期三早上或假日舉辦？,"1.通識活動舉辦之時間以大多數學生可參與的時段為主，若活動舉辦時間為一般上課時間(08:00~17:00)，將會造成更多學生無法參加，且演出日期、時段多為配合藝文團體，以及其裝台、彩排時間等考量因素，較合適時間為晚上演出。
2.全校學生的晚課雖然不少，但確實比白天課堂少很多，所以晚間是最適宜安排活動的時段。
3.星期三早上，因系所會舉辦系週會、院週會，有時任科教師也會利用空檔時間，安排考試或作為實驗課程討論時間，所以未來是否於星期三早上排通識活動，仍有待評估，也需與劇團討論
4.假日時段是多數學生反鄉、外出時間，能參與的人數將更大幅下降。
5.目前中心已有採主辦或合辦的方式，在白天、星期三早上或假日舉辦講座或小型工作坊。"
活動場地可以依人數多寡做調整嗎？,"1.中心每學期舉辨藝文活動場次甚多，無法精準估算每場次人數，因此每場次場地借用，都以場地性質與最大效益為優先考量。
※風雅頌藝文廳(座位可移動，至多可排約200席，環境小而美、具備音樂型演奏燈光及鋼琴，適合音樂課程與演出之場地。)
※秀德廳(座位189席，階梯式座位、環境優美、具備音樂型演奏燈光及鋼琴，適合講座及研討會之場地。)
※兩嘉演藝廳(座位202席，階梯式座位、環境整潔、具備基本燈光及鋼琴，適合講座及影片觀賞之場地。)
※瑞麗堂(座位約358席，投影位置適中、燈光柔和、氣氛典雅，加上圓形場地能讓學生與講員的無距離感，適合演講、近距離互動演出之場地。)相關連結：https://reurl.cc/OkmzN9
※中正樓（座位1991席，舞台與座位席距離遙遠，容易有距離感，燈光、音響較簡易，適合大型集會活動。）
※活動中心培英廳（座位425席，階梯式座位、木質地板、燈光與音響較完善，含鋼琴(需額外借用)，舞台性質較適合戲劇、舞蹈、演出性質使用。）
▲場地相關介紹與圖片：http://www.artssalon.org.tw/Location/
2.考慮到場地容量與安全性，會視場地大小斟酌另外開放50~100位同學入場，並安排學生席地或站在兩側。各項通識活動確實實施演出後即關上門，不再讓遲到同學陸續進場，以示對講員/表演者的尊重，以培養同學準和守時的好習慣。"
通識課程選修一定要修嗎?,是，通識分為基礎必修跟延伸選修通識課程，總共是28學分，畢業前需要修畢。
通識課程可以集中在大四在選修嗎?,不行，每學期延伸選修通識有限制可以選修的上限，建議從大一就要開始規畫選修通識課程。
我有通識課程問題要反映要找誰?,可以寫信到cge@cycu.edu.tw信箱反映。
如果我有問題想要找助理問，通識中心辦公室在哪裡?,通識中心辦公室位於全人村南棟8樓813室。
請問宗教哲學、人生哲學也是找通識中心嗎?,不是，宗教哲學(簡稱宗哲)、人生哲學(簡稱人哲)開課權責單位是校牧處。
校牧處在哪裡?,校牧處在全人村中棟一樓。
校牧處跟校牧處是同一個單位嗎?,是，校牧處在114年2月1日起調整為校牧處。
我想要修全英語授課課程符合畢業資格，只能修通識課程嗎?,不是，全英語授課的課程非僅通識開課，請同學先了解規範後再規劃修課。
我想要申請數位音樂就業學程證明，怎麼申請?,數位音樂就業學程證明不需提出申請，會在同學畢業該學期透過系統審查後，如果可以取得學程證明，會連同畢業證書發放時一起提供。
我想要申請公共行政就業學程證明，怎麼申請?,公共行政就業學程證明不需提出申請，會在同學畢業該學期透過系統審查後，如果可以取得學程證明，會連同畢業證書發放時一起提供。
我想要申請創意創新創業學程(簡稱三創學程)證明，怎麼申請?,創意創新創業跨領域學分學程(簡稱三創學程)證明不需提出申請，會在同學畢業該學期透過系統審查後，如果可以取得學程證明，會連同畢業證書發放時一起提供。
我想要申請創人文素養跨領域學分學程證明，怎麼申請?,文素養跨領域學分學程跨領域學分學程證明不需提出申請，會在同學畢業該學期透過系統審查後，如果可以取得學程證明，會連同畢業證書發放時一起提供。
我要如何找到我選修的就業學程、跨領域學程的課程?,請同學到「中原大學開課查詢系統」，點選「特定課程篩選」，找到對應的選項，就可以呈現想要找的跨領域學程或是就業學程的課程清單
我要如何申請學分抵免?,請依照中原大學公告的抵免規定辦理，承辦單位可先詢問教務處課務與註冊組(簡稱課註組)，電話03-265-2088或是03-2652089
如何知道通識課程的抵免辦法?規則?,請同學到中原大學通識教育中心官方網站，點選「通識課程」->相關辦法/計劃書->通識教育學分抵免辦法，依據辦法內容了解抵免規定。
如果通識教育學分抵免辦法我還是不懂，怎麼辦?,請同學可以寫信到cge@cycu.edu.tw信箱詢問，或是聯繫廖怡婷助理，電話03-265-6851，也可以到通識教育中心辦公室詢問。
我是轉學生，我以前修過的通識課程，中原大學通識教育中心沒有開過相關課程，請問可以抵免嗎?,不行，依照通識教育學分抵免辦法，需在本校有開授內容相關的通識課程才能抵免。
什麼是通識教育自主學習學分?,學生可參加通識講座、演講、通識藝文活動或其他，每場次取得0.1~0.2學分，每場次上傳學習歷程，累積滿1學分於規定時間繳交總結心得報告1份，通過後取得延伸選修通識的「通識教育自主學分」1學分。
我要如何了解通識教育自主學學學分更多內容?,請同學到中原大學通識教育中心官方網站，點選「通識課程」->相關辦法/計劃書->中原大學通識教育自主學習課程學分審核作業要點，依據辦法內容了解學分申請規定。
通識教育自主學習學分最多可以取得幾個學分?,學生累計滿1學分，於規定時間內繳交總結學習心得報告1份(須至少3000字)，並申請學分認證，每人每學期可申請1學分，上限2學分。
通識教育自主學習學分通過後，是哪一個學期獲得學分?,通過的學生即可於當學期獲得學分。
之前已經申請過的通識教育自主學習學分，如果未通過，是否還能繼續申請?,如果已經申請過通識自主學習課程，無論是否通過，皆無法於下次再提出申請，所以要申請學分，一定要記得按照規定，確認後上傳。
應屆畢業生或是延肆生是否能提出申請通識教育自主學習學分?,可以喔!只要在公告時程內(包含成績上傳/公告)，仍在校的身分，皆可申請通識自主學習學分。
我要如何確認我有參加活動且列入通識教育自主學習學分呢?,請同學進入中原e點靈-登入帳號密碼-學業-教學網站-學習便利通-通識自主學習課程認證系統，即可看到目前的參與場次。
如果我取得通識教育自主學習學分，成績單會如何呈現?,成績單會以「通過」呈現，不會有分數。課程名稱為「通識教育自主學習(一)」或「通識教育自主學習(二)」
如何看那些活動有列入通識教育自主學習學分?,可以到中原大學通識教育中心官方網站，查看當學期的通識活動手冊，標示屬於自主學習學分活動皆有列入。
我要申請通識教育自主學習學分，可隨時提出申請嗎?,不行，每學期均會公告開放申請通識教育自主學習學分的時間，僅有申請階段可以上傳總結性心得報告。
通識課程總共需要修幾學分才能畢業？,依照本校通識課程地圖(適用110學年度起入學新生)，分為基本知能6學分，基礎必修通識16學分，延伸選修通識12學分，合計34學分才能畢業。
為什麼延伸人學的「工程倫理」會有不同的老師一起上課?,學校為了讓學生對於一般倫理有完整的了解，設計了6周共同倫理的課程大綱，幫助學生了解一般倫理後再銜接到專業倫理的個案研討。
為什麼延伸人學的「教育倫理」會有不同的老師一起上課?,學校為了讓學生對於一般倫理有完整的了解，設計了6周共同倫理的課程大綱，幫助學生了解一般倫理後再銜接到專業倫理的個案研討。
為什麼延伸人學的「科學與倫理」會有不同的老師一起上課?,學校為了讓學生對於一般倫理有完整的了解，設計了6周共同倫理的課程大綱，幫助學生了解一般倫理後再銜接到專業倫理的個案研討。
為什麼延伸人學的「法律倫理」會有不同的老師一起上課?,學校為了讓學生對於一般倫理有完整的了解，設計了6周共同倫理的課程大綱，幫助學生了解一般倫理後再銜接到專業倫理的個案研討。
為什麼延伸人學的「企業倫理」會有不同的老師一起上課?,學校為了讓學生對於一般倫理有完整的了解，設計了6周共同倫理的課程大綱，幫助學生了解一般倫理後再銜接到專業倫理的個案研討。
請問什麼是「美感教育計畫課程」？與我平常所修習的通識課有什麼不同？,每學期我們都會根據不同的學期主題尋找相對應的通識課程，共同組合為當學期的「美感教育計畫課程」，「美感教育計畫課程」不僅僅是課堂教學，更包含了演講、實作、參訪等活動，每學期也會於期末固定舉辦成果聯展，將計畫課程內的教學、學習成果以平面海報、小短片的形式公開呈現、展示。
「美感教育計畫課程」每學期的主題為什麼都不一樣？有什麼用意嗎？,每學期「美感教育計畫課程」主題都會依據計畫相關負責老師設計與規劃，能夠透過每學期不同的美感主題，令學生從不同角度學習、感受「美感」並實踐「美感」
每學期的「美感教育計畫課程」是不是都是偏向藝術、人文相關科系？,並不會，每學期「美感教育計畫課程」依據不同主題進行課程籌組，也特別強調跨領域融合與生活美學的實踐，都能從不同的課程主題與面向中探討美感的實踐與詮釋。
如果想要參觀「美感教育計畫課程」成果聯展，該從哪邊得知相關資訊？,每學期「美感教育計畫課程」成果聯展將於線上、實體進行宣傳，線上宣傳如：中原大學活動報名系統、i-Touch；實體則是可留意真知教學大樓1F海報張貼區域，皆可見聯展相關時間與地點資訊。
學校的「美感教育」除了每學期通識課程中的「美感教育計畫課程」，還有其他的相關活動嗎？,中原大學「美感教育」所包含課程、活動眾多，除每學期固定組成的「美感教育計畫課程」之外，每學年第二學期也會固定舉辦「跨域合作美感競賽」，提供同學們一個能夠盡情展示美感創造力的舞台，競賽分為平面組、立體組、數位媒體組，不同的作品形式讓創意不設限！同時，每學期也有「樂曲悠揚」、「讀書會」、「藝文展覽」、「圖書館博雅系列等活動」等提供同學參與！
如果想要參加「通識中心讀書會」該如何報名？,若該學期有籌辦「通識中心讀書會」，將會於期初開學進行線上與實體宣傳，可查找中原大學活動報名系統以及真知教學大樓宣傳海報，掃描活動宣傳內容中的QR Code或點選網址便可進行報名表單。
「通識中心讀書會」是如何舉行的？,「通識中心讀書會」一學期將會有4~6個班級，每個班級由一位導師帶領同學組成小型讀書會，每學期將舉辦四場讀書會，每場讀書會約為中午或晚間的用餐時間1小時，每班閱讀書籍由班級導師挑選，成功報名的同學可於第一場讀書會免費獲得一本指定書籍，讀書會將透過導讀與討論，深化閱讀與批判性思考，也可能延伸到生活反思與實踐。
參加「通識中心讀書會」讀書會會有學分嗎？,有的！「通識中心讀書會」屬於通識自主學習學分認列活動之一，若完整參與學期四場讀書會可獲得0.2學分，若參加兩場以上未滿四場，可獲得0.1學分，低於兩場則不計入學分。
我要如何知道我有沒有成功加入「通識中心讀書會」？,"成功填寫「通識中心讀書會」報名表單並不代表已成功加入，由於各班讀書會有人數限制，所以請於填寫表單後耐心等待承辦人審核，人數過多時會依據報名順序下同學所填寫的加入班級志願序進行分配，後續也將以Email通知是否成功加入、加入的讀書會班級為何，並且會提供班級LINE群組請成功加入額的同學加入群組中，以便聯絡後續讀書會相關事宜。
若真的有特定想加入的班級，關鍵在於提早掌握報名資訊、填寫報名表單、維持良好參與紀錄。雖然無法百分百保證能選到最想要的班級，但制度是有彈性且考量公平性的。如果你真的很有興趣的導師也可以私下詢問承辦助理是否有遞補名額！"
每學期都會有「通識中心讀書會」嗎？,不一定，中心會依據每學期規劃活動的不同而決定「通識中心讀書會」的開設班級數與是否開設。
想要參與「人文素養跨領域學分學程」要修幾學分？課程有哪些？,總共需要修畢12學分，分有必修課程（至少4學分），選修課程（至少8學分），具體認列課程請參考中原大學通識教育中心官網中通識課程下方的人文素養跨領域學分學程計畫書。
「人文素養跨領域學分學程」有什麼特色活動嗎？,「人文素養跨領域學分學程」每學期都會規劃不同的相關活動，如「人文經典閱讀讀書會」、「師生論壇」、「校外參訪/走讀」
要如何申請「人文素養跨領域學分學程」？,請留意中原大學每學期跨領域學分學程/微型學程申請的作業時間與流程，校方於學程申請期間也會舉辦約兩場次的說明會，歡迎有興趣報名或有所疑惑的同學報名參加，相關資訊請留意中原大學i-Touch網頁。
是否一定要購買國文必修課本？,依照課程授課教師規劃，若課程中指定教科書為《閱讀神文本》，通識中心將於每學年第一學期開學之際通知各大一國文班級購買指定教科書的方式，若同學能夠拿到過往的《閱讀神文本》也請留意每年的教科書將會有規模不定的更新與改版，請再依自身需求考量購買的必要性。
如果想要進一步詢問國文必修課程《閱讀神文本》相關購書問題，請問可以問誰？,請洽承辦人蔡維庭助理，可寄信至vt9977@cycu.edu.tw或致電03-2656877 詢問。
什麼是「跨域合作美感設計競賽」？,本競賽旨在涵養學生人文情懷與美感素養，尤其希望促進全校學生在「數位時代中進行跨域合作」，將自身所學與生活感知結合，創造有深度的美感表現。
「跨域合作美感設計競賽」是每年都辦嗎？,「跨域合作美感設計競賽」為中原大學高等教育深耕計畫美感教育中的重要規劃之一，因此將長期推動辦理，自第一屆2023年舉辦，規劃將於每學年第二學期舉辦，目前已至第三屆。
「跨域合作美感設計競賽」為什麼要規定「跨系所組隊」？這樣會不會很難組隊？,此設計為落實「跨域合作」的核心精神，讓學生跳脫科系限制，在彼此不同專長、技術與觀點交會下，激發創意火花，因團隊規定至少2~4人，若在組合跨科系團隊成員中執行較為困難，也可以參考降低團隊人數需求，以2人組團即可。
「跨域合作美感設計競賽」為什麼分成三組競賽？,競賽分為平面、立體、數位媒體三組，是為了尊重多樣創作媒材與學生專長背景，無論你是平面設計、攝影愛好者或是手作達人、影音創作者等，都能夠有適合發揮的空間！三組分別規劃對應的格式與提交方式，評審標準則一致，重視美感、理念與技術，無論哪一組都可以同樣受到肯定。
參與「跨域合作美感設計競賽」的作品後續會有什麼規劃、使用單位會如何使用我的作品呢？,獲獎作品將會數位典藏於中原大學通識教育中心臉書專頁，而主辦單位亦有權「發表、展示與使用得獎作品」，因此請務必留意參賽作品的原創性。
「跨域合作美感設計競賽」如果獲獎，競賽獎金要怎麼領？會給團隊內的每一個人嗎？還是可以由一人代領？,獲獎團隊的獎金將由學校統一撥款入帳，入帳作業時間預計將有3~4週時間。所有獎金將平均分配給團隊成員，不得只由單一成員領取。
同一位同學可以參加不同團隊參與「跨域合作美感設計競賽」嗎？,可以，我們並未限制同一位同學的參與次數，因此可以盡情組團創作、參與競賽！
同一組可以投稿多件作品參加「跨域合作美感設計競賽」嗎？,可以，我們並未限制同組團隊的投稿件數，只是如果需要投稿不同件作品須重新報名表單。
要去哪裡投件「跨域合作美感設計競賽」？,每屆「跨域合作美感設計競賽」報名表單皆會使用CYCU表單，2025年跨域合作美感設計競賽報名表單網址為：https://itouch.cycu.edu.tw/active_project/cycu2900h_09/forms/#/forms/7094
如果同一組投了多件作品，是否會影響獲獎名次？,若參賽團隊有多個創意構想，可以放心報名多件作品，但建議每件作品都做到完整、獨立、有新意，避免像「同一作品拆成兩版」這樣影響評審觀感。
若有「跨域合作美感設計競賽」其他問題，該詢問誰？,請洽競賽承辦人蔡維庭助理，可寄信至vt9977@cycu.edu.tw或致電03-2656877詢問。
什麼是通識自主學習學分,參加通識自主學習相關活動，累積滿1學分即可申請1學分的延伸通識課程。增加通識選課方式多元化，讓參與活動的學生，可累積活動轉學分。
通識活動認證可以做什麼,推廣藝文相關活動，記錄學生學習歷程，學生可依天、人、物、我四大類別，規劃未來參與各面的相關活動，以達四大類別的平衡，落實全人教育之目的。另外，因活動為課程的延伸，老師可依課程規劃，推薦學生參與認證活動，豐富其課程內容。
