標籤,標題,時間,活動描述
高教深耕,(高教深耕)(教師教學研習)敬邀國立清華大學化學工程學系 周鶴修教授兼國際產學營運總中心行政組組長演講,06/04 (週三) 15:10 ~ 15:10,"(高教深耕)(教師教學研習)敬邀國立清華大學化學工程學系 周鶴修教授兼國際產學營運總中心行政組組長演講 Facebook分享 LINE分享 取得網址 取得QrCode
活動時間：2025年6月4日 15:10~2025年6月4日 15:10 加入行事曆
活動地點：世芬理學講堂 (理學101) (地址：中原大學)
活動嘉賓：
活動類型： 專題或演講
參加對象： 校內教職員、校內學生
承辦：化學系
活動聯絡人： 林雨臻 03-2653344    
活動所屬單位： 化學系
本系邀請國立清華大學化學工程學系 周鶴修教授兼國際產學營運總中心行政組組長演講
演講主題:Design and Synthesis of Semiconducting Polymers for Nature-inspired Electronics (Electronic Skins) and Energy (Artificial Photosynthesis)
  報名期限
02/12 (週三) 00:00 ~ 06/04 (週三) 00:00
報名"
高教深耕,(高教深耕) 特殊業態新興創業家講座-一人公司(,06/04 (週三) 17:00 ~ 19:00,"(高教深耕) 特殊業態新興創業家講座-一人公司(6/4) Facebook分享 LINE分享 取得網址 取得QrCode
活動時間：2025年6月4日 17:00~2025年6月4日 19:00 加入行事曆
活動地點：中原大學 真知教學大樓105室 (地址：320桃園市中壢區中北路200號)
活動嘉賓： 洪偉翔 (iCatalog 創辦人)    
活動類型： 教育訓練
參加對象： 開放校內外人士
承辦：產學營運處創新創業發展中心
活動聯絡人： 潘建廷 03-2651812    
活動所屬單位： 產學營運處創新創業發展中心
講題 |　一人公司：我「小」故我在
講師 |　洪偉翔 (iCatalog 創辦人)
時間 |　114/06/04(三) 17:00-19:00
地點 |　中原大學 真知教學大樓105室
(若課程地點異動將以簡訊或郵件通知)
報名期限 | 即日起 至 114/06/03 止
活動承辦 | 潘助教 03-2651812
官方LINE | @pgu3467i
    報名期限
02/21 (週五) 00:00 ~ 06/03 (週二) 23:59
報名"
高教深耕,(高教深耕)第一場推廣國際計畫申請分享會,06/05 (週四) 10:00 ~ 12:00,"(高教深耕)第一場推廣國際計畫申請分享會 Facebook分享 LINE分享 取得網址 取得QrCode
活動時間：2025年6月5日 10:00~2025年6月5日 12:00 加入行事曆
活動地點：普仁小集
活動嘉賓：
活動類型： 專題或演講
參加對象： 校內教職員、校內學生
承辦：淨零轉型永續力中心
活動聯絡人： 王亭文 03-2651251    
活動所屬單位： 淨零轉型永續力中心
🎯想申請國際計畫卻不知道該怎麼下手嗎？
🔑想知道報名國際計畫的淺規則嗎？
那您一定不能錯過由淨零轉型永續力中心舉辦的「第一場推廣國際計畫申請分享會」!
分享會邀請到生科系吳宗遠教授與環工系王玉純教授，分別分享他們在申請國際計畫時的經驗。
  📍活動地點：普仁小集
📅活動日期：6/5（四）10:00-12:00
💖適合參與對象：教師、研究生（總人數以30人為限）
👉當天將提供午餐，如有特殊需求請告知
  分享會暫定議程如下：
時間
長度
流程
備註
09:30-10:00
30
報到
  10:00-10:10
10
開場
校務研究暨永續發展處 王玉純永續長
  10:10-11:00
50
主題演講1與Q&A(主題待定)
生科系 吳宗遠教授
  11:00-11:10
10
休息時間
  11:10-12:00
50
貝蒙計畫申請經驗分享與Q&A
環工系 王玉純教授
  12:00
  賦歸
      📞聯繫資訊：
淨零轉型永續力中心 王亭文小姐
03-2651251
  報名期限
05/20 (週二) 12:00 ~ 06/04 (週三) 12:00
報名"
高教深耕,(高教深耕)113學年度全人關懷獎－團體組,06/08 (週日) 09:00 ~ 17:00,"(高教深耕)113學年度全人關懷獎－團體組 Facebook分享 LINE分享 取得網址 取得QrCode
活動時間：2025年6月8日 09:00~2025年6月8日 17:00 加入行事曆
活動地點：
活動嘉賓：
活動類型： 活動
參加對象： 校內學生
承辦：學生事務處服務學習中心
活動聯絡人： 孫君瑋 03-2652157    
活動所屬單位： 學生事務處服務學習中心
（團體組報名頁面）
一、報名日期
即日起至 5 月 4 日（日）23:59 止
二、報名資格
個人組：
113-2學期具中原大學學籍之在校學生。
111年7月起至今曾熱心參與服務學習/志工活動，有具體服務事蹟者。
團體組：
113-2學期具中原大學學籍之在校學生組成團隊（3人以上）。
113年7月起至今曾經熱心參與服務學習/志工活動，有具體服務事蹟者。
三、報名方式
（一）填寫本報名表單（團體組由一人代表填寫即可）
（二）將下列資料以指定格式，上傳至指定雲端資料夾（填寫報名表單後3日內提供雲端連結）：
團隊成員名單（個人組免繳）。
服務摘要表。
服務成果報告。
個人資料提供暨著作權授權同意書 （所有團隊成員簽名後，掃描或拍照上傳）  。
其他附件，如影音紀錄、媒體報導或問卷回饋等成效佐證資料（如無則免）。
 （三）以上兩步驟皆須完成才算完成報名，必要時應依本中心要求提供書面資料。
四、競賽時程
受理報名：5 月 4 日（日）23:59 止。
資料上傳：5 月 7 日（三）23:59 前，上傳至指定雲端資料夾。
決選名單公告：5 月 28 日（三）17:00 前，公告於本中心官網並寄送電子郵件通知。
人氣獎票選：6 月 2 日（一）至 6 月 6 日（五），於票選期間在維澈樓1樓聯合行政服務中心展示發表區展出。
簡報決選暨頒獎典禮：6月 8 日（日）於中原大學校內舉辦。
五、競賽獎勵
（一）團體組錄取第一至三名及佳作，頒發獎勵如下：
第一名：獎金 1 萬 元、獎狀 1 張。
第二名：獎金 8 仟 元、獎狀 1 張。
第三名：獎金 6 仟 元、獎狀 1 張。
佳　作：獎金 4 仟 元、獎狀 1 張。
（二）個人組錄取第一至三名及佳作，頒發獎勵如下：
第一名：獎金 5 仟 元、獎狀 1 張。
第二名：獎金 4 仟 元、獎狀 1 張。
第三名：獎金 3 仟 元、獎狀 1 張。
佳　作：獎金 2 仟 元、獎狀 1 張。
（三）最佳人氣獎，團體組及個人組各取1名。頒發獎勵如下：
人氣獎：獎金 2 仟 元、獎狀乙張。
※如各類參賽作品未達水準，該獎項可由評審委員決議從缺。
※以上各獎項得獎團隊提報之成員，頒給獎狀 1 張，於頒獎典禮後以電子檔方式寄送。
六、競賽簡章及附件下載
👉連結在這裡
七、聯絡資訊
聯絡電話：03-2652152
聯絡信箱：cycuslgogogo@gmail.com
更多問題，歡迎參考全人關懷獎Q&A👉在這裡
  報名期限
03/24 (週一) 00:00 ~ 05/04 (週日) 23:59
已過期"
高教深耕,(高教深耕)113學年度全人關懷獎－個人組,06/08 (週日) 09:00 ~ 17:00,"(高教深耕)113學年度全人關懷獎－個人組 Facebook分享 LINE分享 取得網址 取得QrCode
活動時間：2025年6月8日 09:00~2025年6月8日 17:00 加入行事曆
活動地點：
活動嘉賓：
活動類型： 活動
參加對象： 校內學生
承辦：學生事務處服務學習中心
活動聯絡人： 孫君瑋 03-2652157    
活動所屬單位： 學生事務處服務學習中心
（個人組報名頁面）
一、報名日期
即日起至 5 月 4 日（日）23:59 止
二、報名資格
個人組：
113-2學期具中原大學學籍之在校學生。
111年7月起至今曾熱心參與服務學習/志工活動，有具體服務事蹟者。
團體組：
113-2學期具中原大學學籍之在校學生組成團隊（3人以上）。
113年7月起至今曾經熱心參與服務學習/志工活動，有具體服務事蹟者。
三、報名方式
（一）填寫本報名表單
（二）將下列資料以指定格式，上傳至指定雲端資料夾（填寫報名表單後3日內提供雲端連結）：
團隊成員名單（個人組免繳）。
服務摘要表。
服務成果報告。
個人資料提供暨著作權授權同意書 （所有團隊成員簽名後，掃描或拍照上傳）  。
其他附件，如影音紀錄、媒體報導或問卷回饋等成效佐證資料（如無則免）。
 （三）以上兩步驟皆須完成才算完成報名，必要時應依本中心要求提供書面資料。
四、競賽時程
受理報名：5 月 4 日（日）23:59 止。
資料上傳：5 月 7 日（三）23:59 前，上傳至指定雲端資料夾。
決選名單公告：5 月 28 日（三）17:00 前，公告於本中心官網並寄送電子郵件通知。
人氣獎票選：6 月 2 日（一）至 6 月 6 日（五），於票選期間在維澈樓1樓聯合行政服務中心展示發表區展出。
簡報決選暨頒獎典禮：6月 8 日（日）於中原大學校內舉辦。
五、競賽獎勵
（一）團體組錄取第一至三名及佳作，頒發獎勵如下：
第一名：獎金 1 萬 元、獎狀 1 張。
第二名：獎金 8 仟 元、獎狀 1 張。
第三名：獎金 6 仟 元、獎狀 1 張。
佳　作：獎金 4 仟 元、獎狀 1 張。
（二）個人組錄取第一至三名及佳作，頒發獎勵如下：
第一名：獎金 5 仟 元、獎狀 1 張。
第二名：獎金 4 仟 元、獎狀 1 張。
第三名：獎金 3 仟 元、獎狀 1 張。
佳　作：獎金 2 仟 元、獎狀 1 張。
（三）最佳人氣獎，團體組及個人組各取1名。頒發獎勵如下：
人氣獎：獎金 2 仟 元、獎狀乙張。
※如各類參賽作品未達水準，該獎項可由評審委員決議從缺。
※以上各獎項得獎團隊提報之成員，頒給獎狀 1 張，於頒獎典禮後以電子檔方式寄送。
六、競賽簡章及附件下載
👉連結在這裡
七、聯絡資訊
聯絡電話：03-2652152
聯絡信箱：cycuslgogogo@gmail.com
更多問題，歡迎參考全人關懷獎Q&A👉在這裡
  報名期限
03/24 (週一) 00:00 ~ 05/04 (週日) 23:59
已過期"
高教深耕,(高教深耕)微積分(下)期末考考前加強班(B群),06/02 (週一),"(高教深耕)微積分(下)期末考考前加強班(B群) Facebook分享 LINE分享 取得網址 取得QrCode
活動時間：2025年6月2日 18:00~2025年6月9日 19:45 加入行事曆
活動地點：教學308教室 (地址：桃園市中壢區中北路200號教學大樓308教室)
活動嘉賓：
活動類型： 教育訓練
參加對象： 校內學生
承辦：教務處學生學習發展中心
活動聯絡人： 林佳佳 03-2652056    
活動所屬單位： 教務處學生學習發展中心
為加強同學於共同必修課程之基礎知能
教務處學發中心規劃、邀請授課教師於考前開設考前加強班
歡迎學生踴躍報名


課程：微積分(下)期末考考前加強班(B群)
時間1：6/2(一)-D、E節(18:00-19:45)
時間2：6/9(一)-D、E節(18:00-19:45)
授課教師：許大偉 老師
地點：教學308
  報名期限
05/20 (週二) 14:30 ~ 06/09 (週一) 17:30
報名"
高教深耕,(通識自主學習)(高教深耕)(通識認證)(教師教學研習)【全人博雅講壇】,06/11 (週三) 15:10 ~ 17:00,"(通識自主學習)(高教深耕)(通識認證)(教師教學研習)【全人博雅講壇】06/11｜歐洲歷史文化中的「人造人」（機器人）敘事—在科學與魔法之間 Facebook分享 LINE分享 取得網址 取得QrCode
活動時間：2025年6月11日 15:10~2025年6月11日 17:00 加入行事曆
活動地點：張靜愚紀念圖書館一樓秀德廳
活動嘉賓：
活動類型： 專題或演講
參加對象： 開放校內外人士
承辦：通識教育中心
活動聯絡人： 張芸瑄 03-2656883    
活動所屬單位： 通識教育中心
活動資訊與注意事項
● 時間：114年6月11日（三）15:10-17:00
● 地點：張靜愚紀念圖書館一樓秀德廳
● 講題：歐洲歷史文化中的「人造人」（機器人）敘事—在科學與魔法之間
● 講員：温洽溢
● 講員介紹：
國立政治大學東亞研究所博士。世新大學通識中心副教授，兼舍我紀念館副館長，《傳記文學》雜誌社副社長。著作：《獻給皇帝的禮物：Wedgwood瓷器王國與漫長的十八世紀》，獲2019年Openbook中文創作類年度好書獎。並譯有多本書籍，如《改變中國》、《康熙：重構一位中國皇帝的內心界》等。
  ★ 參加通識活動之注意事項 ★
※ 報名時請填寫正確電子郵件帳號，若活動有異動將寄送電子郵件告知。
※ 本單位有修改活動之權利。若有任何更動，請以最新公告為主。
※ 參與人數額滿將提前結束報名！
※ 不刻出席時，請務必取消報名，以免資源浪費！
※ 依現場工作人員判定遲到或早退者，恕無法取得各項參與時數。
※ 請於活動結束後至簽到處出示學生證/職員證靠卡簽退，以保障您的權益！
※ 為維護您與他人的健康，若有身體不適，請避免出席活動。
  報名期限
02/17 (週一) 08:00 ~ 04/25 (週五) 12:00
已過期"
高教深耕,(高教深耕) 特殊業態新興創業家講座-特教學習工具(,06/11 (週三) 17:00 ~ 19:00,"(高教深耕) 特殊業態新興創業家講座-特教學習工具(6/11) Facebook分享 LINE分享 取得網址 取得QrCode
活動時間：2025年6月11日 17:00~2025年6月11日 19:00 加入行事曆
活動地點：中原大學 真知教學大樓105室 (地址：320桃園市中壢區中北路200號)
活動嘉賓： 呂翰霖 (AI SOLLY 共同創辦人)    
活動類型： 教育訓練
參加對象： 開放校內外人士
承辦：產學營運處創新創業發展中心
活動聯絡人： 潘建廷 03-2651812    
活動所屬單位： 產學營運處創新創業發展中心
講題 |　淺談深成式AI-教育上的應用
講師 |　呂翰霖 (AI SOLLY 共同創辦人)
時間 |　114/06/11(三) 17:00-19:00
地點 |　中原大學 真知教學大樓105室
(若課程地點異動將以簡訊或郵件通知)
報名期限 | 即日起 至 114/06/10 止
活動承辦 | 潘助教 03-2651812
官方LINE | @pgu3467i
    報名期限
02/21 (週五) 00:00 ~ 06/10 (週二) 23:59
報名"
高教深耕,(教師教學研習)(高教深耕) 產學合作契約的法律重點提醒,06/12 (週四) 12:00 ~ 13:00,"(教師教學研習)(高教深耕) 產學合作契約的法律重點提醒 Facebook分享 LINE分享 取得網址 取得QrCode
活動時間：2025年6月12日 12:00~2025年6月12日 13:00 加入行事曆
活動地點：普仁小集 (中原大學圖書館1樓103室)
活動嘉賓：
活動類型： 專題或演講
參加對象： 校內教職員、校內學生
承辦：產學營運處產學平台暨專利技轉中心
活動聯絡人： 劉方榆 03-2651842    
活動所屬單位： 產學營運處產學平台暨專利技轉中心
產學合作機會多，但契約陷阱也不少，懂得法律眉角才能保障自身權益。本場講座由實務律師親授，揭開合作條文背後的關鍵細節。無論你是老師、研究人員還是學生，只要正在或是有機會參與合作計畫，就值得提前掌握這些法律關鍵，為未來合作加上一道保險。
    報名期限
04/21 (週一) 00:00 ~ 06/12 (週四) 00:00
報名"
高教深耕,(高教深耕)服務學習推廣講座-服務無界，行動無限,06/12 (週四) 12:10 ~ 13:10,"(高教深耕)服務學習推廣講座-服務無界，行動無限 Facebook分享 LINE分享 取得網址 取得QrCode
活動時間：2025年6月12日 12:10~2025年6月12日 13:10 加入行事曆
活動地點：教學806教室
活動嘉賓： 應華三甲劉可觀同學    
活動類型： 專題或演講
參加對象： 校內教職員、校內學生
承辦：學生事務處服務學習中心
活動聯絡人： 范姜緗筠 03-2652153    
活動所屬單位： 學生事務處服務學習中心
突破界限，服務創造無限可能，每一次服務的行動都是改變的開始。
本次邀請到應華系三年級的劉可觀同學，將與我們分享參與志工服務團隊的經歷與收穫，從舉辦小朋友暑期營隊到馬來西亞海外服務，一次次的經驗又是如何結合她的科系專業，從中成長蛻變。
讓我們一起走出舒適圈，發現服務學習帶來的無限可能。
📅 講座時間：6/12（四）12:10~13:10
📍 講座地點：教學806教室
❤️分享人：應華系三甲劉可觀同學（111年服務學習種籽團、112年服務學習中心副領隊）
✨️只要全程參加講座，就可以兌換1張餐卷，讓你身心靈都有飽足感！
備註：餐卷兌換限中原大學教職員生，兌換方式將於講座中說明。
注意事項
📍   本場次優先給予尚未參與過本學期其他場次者，確認後將會盡快寄送報名通知信件，感謝您。
📍   活動無故未到者，將列入本中心活動黑名單，請珍惜寶貴活動資源。
📞聯絡資訊：
。【聯絡窗口】服務學習中心 范姜緗筠
。【聯絡電話】03-2652153
。【聯絡信箱】cycuslgogogo@gmail.com
  報名期限
03/20 (週四) 00:00 ~ 06/09 (週一) 12:00
報名"
